income,debt,num_credit_cards,payment_history_score,age,creditworthy
67450.7123,29194.84349,3,799,55,0
57926.03548,25397.06946,3,654,28,0
69715.32807,18477.04296,3,784,44,1
82845.44785,12824.50578,4,510,39,0
56487.69938,23585.78651,5,343,56,0
56487.94565,21147.88308,5,840,63,1
83688.19223,25161.54576,2,391,47,0
71511.52094,23081.37441,5,564,52,0
52957.88421,26396.42172,5,519,34,0
68138.40065,13718.11831,3,741,38,1
53048.73461,28539.15253,3,700,48,0
53014.0537,19580.79684,2,699,49,1
63629.43407,34602.08698,1,789,36,0
31300.79633,12486.49746,2,784,55,0
34126.23251,31887.71043,2,769,51,0
51565.68706,19583.28627,4,744,24,1
44807.53319,12788.65597,4,568,57,0
64713.70999,14128.91333,2,566,37,0
46379.63887,15437.22153,2,353,59,0
38815.44448,21393.32757,2,827,46,0
81984.73153,22182.6839,5,819,59,1
56613.35549,13410.39997,4,358,61,0
61012.92307,17805.16326,2,339,24,0
38628.77721,35138.16287,3,536,50,0
51834.25913,31820.34536,3,685,50,0
61663.83885,21490.58936,5,599,42,0
42735.09634,18304.02783,5,694,31,0
65635.47028,18960.25061,1,506,22,0
50990.41965,22908.14378,1,635,64,1
55624.59375,9817.659478,1,813,32,1
50974.40082,15940.9877,5,477,50,0
87784.17277,4651.327409,5,695,56,1
59797.54163,21193.78498,5,670,38,1
44134.33607,23177.56752,3,617,46,0
72338.17368,14134.5083,5,668,27,1
41687.34525,30591.89411,3,683,21,0
63132.95393,8193.874696,1,361,46,0
30604.94814,6285.000958,1,804,43,0
40077.20927,19795.61455,1,538,46,0
62952.91854,26376.78642,2,494,26,0
71076.9987,31471.42153,2,521,26,0
62570.52422,14328.9259,4,360,64,0
58265.27576,26629.44667,4,428,28,0
55483.44457,17691.93224,4,455,44,0
37822.17014,16618.9816,2,677,42,0
49202.33687,25069.2795,2,736,39,0
53090.41844,23218.58303,4,506,57,0
75856.83339,5388.862744,4,687,38,1
65154.27434,29812.3228,5,779,51,0
33554.39767,29040.73083,4,639,57,0
64861.25954,12995.49839,5,639,50,1
54223.76579,21166.42827,3,503,62,0
49846.17,21952.24149,2,460,53,0
69175.14433,20085.39013,4,839,30,1
75464.99284,13597.55877,2,691,57,1
73969.20179,12627.01306,2,833,32,1
47411.73715,17795.56743,2,369,50,0
55361.81436,27381.83215,3,704,47,0
64968.95147,22348.80124,1,816,59,1
74633.17691,15035.08534,4,419,29,0
52812.38643,24173.58969,1,516,41,0
57215.11535,0,1,355,32,0
43404.97539,27190.1256,1,665,49,0
42056.90064,4082.28977,2,803,53,0
72187.88734,15100.47247,5,754,63,1
80343.60043,9042.640843,2,403,35,0
58919.84818,7642.548194,2,376,22,0
75052.99347,27286.6143,1,529,59,0
65424.54038,14258.39039,2,557,64,0
50323.20368,20772.03105,1,563,38,0
65420.93408,17624.63537,5,630,23,1
83070.5485,21816.32662,4,481,27,0
59462.60941,18614.57513,1,849,63,1
83469.65484,7736.062206,5,326,38,0
20703.82344,25970.13456,4,575,64,0
72328.53757,14049.94733,3,598,58,0
61305.70602,5547.344811,1,390,57,0
55514.88974,14575.07871,1,779,53,1
61376.41165,30006.07833,3,757,64,0
30186.46628,24801.77394,3,750,51,0
56704.92168,15210.78292,1,664,31,1
65356.68857,15205.93837,3,650,24,1
82168.41067,15426.91959,2,699,38,1
52225.94673,34613.98387,4,552,24,0
47872.59596,21055.48362,4,758,54,0
52473.64435,21440.33318,4,798,49,1
73731.03177,26242.26763,2,807,44,0
64931.26664,19910.31327,3,603,42,1
52053.59694,15927.66283,5,800,22,1
67699.0115,16429.20121,3,465,64,0
61456.16324,17427.18992,1,714,26,1
74529.67486,17702.22211,4,761,62,1
49469.20359,23821.03635,3,413,45,0
55085.0678,18415.56709,5,732,41,1
54118.3777,23861.12062,1,655,36,1
38047.27578,17354.26736,2,506,51,0
64441.80416,18629.08152,2,534,34,0
63915.82908,2014.394524,5,741,59,1
60076.70185,25330.6214,1,654,48,0
56481.193,20771.90781,4,814,52,1
38769.43887,25984.08088,3,507,48,0
53690.32016,0,1,424,29,0
54859.28225,34706.99764,2,437,42,0
47965.84096,16883.28297,5,638,52,0
57580.71433,26865.46253,5,836,25,0
66060.76285,9680.752583,3,367,43,0
88292.78852,22902.19124,5,840,25,1
62618.66719,9572.675495,5,682,62,1
63863.25586,13009.84831,1,318,52,0
58883.31126,33312.25083,4,749,30,0
31218.43177,16474.54079,3,373,59,0
59602.29187,19739.46299,1,575,35,0
60903.45315,24960.54185,4,347,27,0
96948.63169,21965.4551,1,510,49,0
57114.58553,19203.35124,1,839,23,1
64523.21014,20919.68802,5,490,39,0
59479.32345,37227.32468,4,614,30,0
42469.82944,17539.04962,3,412,48,0
77142.34222,19608.79237,3,469,49,0
71278.99549,26405.23517,4,767,35,0
71865.47921,26844.20746,5,313,55,0
46359.18818,27496.24244,2,587,26,0
81041.91466,23109.84178,1,488,32,0
38972.23406,8855.960698,5,454,58,0
68802.85641,31067.45226,4,770,33,0
92856.83439,8829.236856,1,374,49,0
45141.95512,20421.08372,3,576,39,0
51505.53406,11965.7932,2,642,23,1
61494.77048,17486.89323,3,724,28,1
52447.86519,20630.09928,4,810,28,1
36740.04853,20570.85772,1,481,40,0
61028.44462,21375.36603,4,757,24,1
44065.44429,30909.69015,1,363,41,0
67103.88646,21628.27441,5,559,23,0
46208.63649,16046.74692,2,492,28,0
83249.01608,25712.69735,5,705,43,0
48251.20061,27515.76391,5,392,36,0
55169.07726,8179.137479,4,729,33,1
72202.75826,22779.20056,2,733,23,1
41537.03525,23609.38194,1,703,29,0
63411.89902,15619.49197,1,733,34,1
79607.14131,29005.65451,3,411,33,0
35887.75148,16799.5553,1,674,27,0
62769.50788,19004.61163,4,358,35,0
63898.24191,16615.42541,5,342,27,0
71727.34308,18124.63238,5,506,58,0
41445.73934,9229.799305,5,595,54,0
40193.1508,6479.592939,2,417,61,0
67829.12348,30756.04051,1,831,42,0
64454.7701,11224.30921,4,521,44,0
63757.39276,10068.8612,2,465,57,0
65196.72314,772.8790912,3,455,64,0
49799.62918,12888.30602,4,483,21,0
63483.80546,7415.281653,4,389,30,0
64396.0871,31136.12128,4,393,63,0
49284.72873,26078.53671,5,312,36,0
87986.61767,12494.79724,4,737,28,1
67107.49381,36019.48644,1,837,45,0
42130.44754,25854.1239,4,449,32,0
69848.30413,15401.34893,5,307,45,0
45379.77495,0,4,328,37,0
71806.26906,36327.54058,3,595,46,0
77378.93369,6883.420266,3,639,34,1
47689.76522,4836.810024,5,738,61,0
74450.64194,26180.56346,1,443,56,0
66191.7139,37518.01925,1,818,43,0
72330.9024,29074.18255,2,344,63,0
88451.89474,22511.27296,5,538,26,0
56319.17826,22758.03473,4,454,25,0
48693.95753,24827.32447,5,480,63,0
46657.28356,24071.42872,2,514,45,0
47762.84573,20249.53139,5,387,38,0
58843.47436,18833.60883,5,555,33,0
65117.27962,17499.25498,2,810,63,1
64150.36199,11968.28329,1,372,34,0
72407.74874,15754.59939,4,478,48,0
60195.02838,4456.345486,2,511,38,0
81803.01116,17213.28299,3,533,48,0
56030.1475,10091.27114,1,764,47,1
100802.5375,9171.285462,3,522,52,0
69385.01022,19439.15321,1,563,29,0
47142.63665,29136.01829,4,506,60,0
43936.61253,25346.53285,4,665,52,0
67237.08623,5435.995171,5,575,40,0
56648.05822,10082.97491,3,679,48,1
70710.00741,25526.1695,1,608,53,0
67098.56437,10140.10085,4,567,24,0
58907.56631,16202.9348,2,363,54,0
47298.09423,22400.41679,4,649,23,0
37277.29163,10253.24436,2,793,46,0
53302.27572,18843.00405,1,822,28,1
72845.98191,7327.796041,4,397,26,0
63211.40616,13189.05885,4,370,36,0
41313.91832,20558.25547,1,663,44,0
62597.71389,5256.050132,4,575,59,0
65779.7607,21523.7979,2,349,50,0
46742.13846,17842.89761,4,657,33,0
62305.87659,22419.91964,3,784,25,1
60873.13078,19791.31307,5,383,45,0
42855.44553,28913.12344,2,595,40,0
65366.81041,19001.79602,3,535,38,0
68411.7679,14564.75567,1,355,38,0
76245.76865,18978.38002,2,659,22,1
75807.03078,22346.38423,5,409,30,0
39334.95948,18390.88056,5,491,32,0
45932.6244,18324.73353,1,392,33,0
67725.52901,12384.0665,1,359,31,0
67706.78926,12696.79266,2,338,39,0
67725.71529,6779.157826,4,839,55,1
117790.9724,31996.61395,1,348,59,0
68563.35766,8049.094117,4,719,46,1
77033.4846,12456.75842,3,312,34,0
74310.02645,12252.74188,5,335,64,0
69770.86877,25159.39502,4,400,44,0
55270.96133,15640.40257,5,385,61,0
71384.53831,27981.93658,4,815,21,0
48407.62178,12612.07501,3,522,63,0
56447.7209,20231.9533,1,637,42,1
52719.54678,11317.22357,3,465,43,0
61228.11209,35161.19302,1,682,39,0
94719.8785,8499.212648,1,675,38,1
31991.02211,20478.56568,5,770,32,0
70293.90286,23070.21505,3,330,48,0
35809.26193,21310.39278,4,674,48,0
52921.02201,16517.69873,3,310,53,0
76334.25895,16961.4344,5,601,39,1
